iter	Passed	Remaining
464	735	846
465	737	845
466	738	843
467	739	841
468	740	838
469	741	836
470	742	833
471	743	831
472	744	829
473	745	826
474	746	824
475	746	822
476	747	819
477	748	817
478	749	815
479	750	813
480	752	812
481	753	810
482	754	807
483	755	805
484	756	803
485	757	800
486	758	798
487	759	796
488	760	794
489	760	791
490	761	789
491	762	787
492	763	785
493	764	783
494	765	781
495	767	780
496	769	778
497	770	776
498	772	775
499	773	773
500	774	771
501	775	769
502	776	767
503	777	765
504	778	763
505	779	760
506	781	759
507	782	757
508	783	755
509	784	753
510	785	751
511	786	749
512	787	747
513	787	745
514	788	742
515	789	740
516	790	738
517	791	736
518	792	734
519	793	732
520	794	730
521	796	729
522	797	727
523	798	725
524	799	723
525	800	721
526	801	719
527	802	717
528	803	715
529	804	713
530	805	711
531	806	709
532	807	707
533	808	705
534	809	703
535	811	702
536	812	700
537	813	698
538	814	696
539	815	694
540	816	692
541	818	691
542	820	690
543	821	688
544	822	687
545	825	686
546	828	686
547	829	684
548	830	682
549	832	681
550	833	679
551	835	677
552	836	676
553	837	674
554	838	672
555	841	671
556	842	670
557	843	668
558	844	666
559	845	664
560	846	662
561	847	660
562	849	658
563	850	657
564	852	656
565	853	654
566	854	652
567	856	651
568	857	649
569	858	647
570	860	646
571	861	644
572	863	643
573	865	642
574	867	640
575	868	639
576	871	638
577	872	636
578	873	635
579	874	633
580	875	631
581	876	629
582	877	627
583	878	626
584	879	624
585	880	622
586	881	620
587	883	618
588	886	618
589	887	616
590	889	615
591	890	613
592	891	612
593	893	610
594	894	609
595	896	607
596	897	605
597	898	603
598	899	602
599	900	600
600	901	598
601	902	596
602	903	595
603	904	593
604	905	591
605	906	589
606	907	587
607	908	585
608	909	583
609	910	581
610	911	580
611	911	578
612	912	576
613	914	575
614	915	573
615	917	571
616	917	569
617	918	567
618	919	566
619	920	564
620	921	562
621	922	560
622	923	558
623	924	557
624	925	555
625	926	553
626	927	551
627	928	549
628	929	548
629	930	546
630	931	544
631	932	543
632	933	541
633	934	539
634	935	537
635	936	535
636	937	534
637	938	532
638	939	530
639	940	528
640	941	527
641	942	525
642	943	523
643	944	522
644	946	520
645	947	519
646	948	517
647	949	515
648	950	513
649	950	512
650	951	510
651	952	508
652	953	506
653	954	505
654	955	503
655	956	501
656	957	500
657	958	498
658	959	496
659	960	494
660	961	493
661	962	491
662	963	489
663	964	488
664	965	486
665	966	484
666	967	482
667	968	481
668	969	479
669	969	477
670	970	476
671	973	475
672	974	473
673	975	471
674	976	470
675	977	468
676	978	467
677	979	465
678	980	463
679	981	461
680	982	460
681	983	458
682	984	456
683	985	455
684	987	454
685	988	452
686	989	450
687	990	449
688	991	447
689	992	445
690	993	444
691	994	442
692	994	440
693	995	439
694	996	437
695	997	435
696	998	434
697	999	432
698	1000	430
699	1002	429
700	1003	428
701	1004	426
702	1005	424
703	1006	423
704	1007	421
705	1008	419
706	1009	418
707	1009	416
708	1010	414
709	1011	413
710	1012	411
711	1013	409
712	1014	408
713	1015	406
714	1017	405
715	1018	403
716	1019	402
717	1020	400
718	1021	399
719	1022	397
720	1023	395
721	1023	394
722	1024	392
723	1025	391
724	1026	389
725	1027	387
726	1028	386
727	1029	384
728	1031	383
729	1032	381
730	1033	380
731	1034	378
732	1035	377
733	1036	375
734	1037	373
735	1038	372
736	1038	370
737	1039	369
738	1040	367
739	1041	366
740	1042	364
741	1043	362
742	1044	361
743	1045	359
744	1047	358
745	1048	356
746	1048	355
747	1049	353
748	1050	352
749	1051	350
750	1052	349
751	1053	347
752	1054	345
753	1055	344
754	1056	342
755	1057	341
756	1058	339
757	1059	338
758	1061	337
759	1062	335
760	1063	333
761	1064	332
762	1065	330
763	1065	329
764	1066	327
765	1067	326
766	1068	324
767	1069	323
768	1070	321
769	1071	320
770	1072	318
771	1073	316
772	1074	315
773	1076	314
774	1077	312
775	1078	311
776	1079	309
777	1080	308
778	1081	306
779	1082	305
780	1083	303
781	1084	302
782	1085	300
783	1086	299
784	1087	297
785	1088	296
786	1089	294
787	1091	293
788	1092	292
789	1093	290
790	1094	289
791	1095	287
792	1096	286
793	1097	284
794	1097	283
795	1098	281
796	1099	280
797	1100	278
798	1101	277
799	1102	275
800	1103	274
801	1104	272
802	1106	271
803	1106	269
804	1107	268
805	1108	266
806	1109	265
807	1110	263
808	1111	262
809	1112	260
810	1113	259
811	1114	258
812	1115	256
813	1116	255
814	1117	253
815	1118	252
816	1119	250
817	1120	249
818	1121	247
819	1122	246
820	1123	244
821	1124	243
822	1125	242
823	1126	240
824	1127	239
825	1127	237
826	1128	236
827	1129	234
828	1130	233
829	1131	231
830	1132	230
831	1134	229
832	1135	227
833	1136	226
834	1137	224
835	1138	223
836	1139	221
837	1140	220
838	1141	218
839	1141	217
840	1142	216
841	1143	214
842	1144	213
843	1145	211
844	1146	210
845	1147	208
846	1149	207
847	1150	206
848	1151	204
849	1152	203
850	1153	201
851	1154	200
852	1155	199
853	1156	197
854	1156	196
855	1157	194
856	1158	193
857	1159	191
858	1160	190
859	1161	189
860	1162	187
861	1164	186
862	1165	185
863	1167	183
864	1168	182
865	1169	180
866	1170	179
867	1171	178
868	1172	176
869	1172	175
870	1173	173
871	1174	172
872	1175	171
873	1176	169
874	1177	168
875	1179	166
876	1180	165
877	1181	164
878	1182	162
879	1183	161
880	1185	160
881	1186	158
882	1187	157
883	1189	156
884	1190	154
885	1191	153
886	1192	151
887	1194	150
888	1195	149
889	1196	147
890	1198	146
891	1199	145
892	1200	143
893	1200	142
894	1201	140
895	1203	139
896	1204	138
897	1205	136
898	1206	135
899	1206	134
900	1208	132
901	1210	131
902	1211	130
903	1212	128
904	1213	127
905	1214	126
906	1215	124
907	1216	123
908	1217	121
909	1218	120
910	1219	119
911	1220	117
912	1221	116
913	1223	115
914	1225	113
915	1226	112
916	1227	111
917	1228	109
918	1229	108
919	1229	106
920	1231	105
921	1232	104
922	1233	102
923	1234	101
924	1234	100
925	1235	98
926	1236	97
927	1240	96
928	1241	94
929	1242	93
930	1243	92
931	1244	90
932	1245	89
933	1246	88
934	1247	86
935	1248	85
936	1249	84
937	1250	82
938	1251	81
939	1254	80
940	1255	78
941	1256	77
942	1257	76
943	1259	74
944	1260	73
945	1261	72
946	1262	70
947	1263	69
948	1264	67
949	1264	66
950	1265	65
951	1268	63
952	1269	62
953	1270	61
954	1271	59
955	1272	58
956	1273	57
957	1274	55
958	1276	54
959	1276	53
960	1277	51
961	1278	50
962	1279	49
963	1280	47
964	1282	46
965	1283	45
966	1284	43
967	1285	42
968	1286	41
969	1287	39
970	1288	38
971	1289	37
972	1290	35
973	1291	34
974	1292	33
975	1293	31
976	1294	30
977	1295	29
978	1297	27
979	1298	26
980	1300	25
981	1301	23
982	1302	22
983	1303	21
984	1304	19
985	1305	18
986	1306	17
987	1307	15
988	1308	14
989	1309	13
990	1310	11
991	1312	10
992	1314	9
993	1314	7
994	1315	6
995	1317	5
996	1318	3
997	1319	2
998	1320	1
999	1321	0
